[L]# 06:21:59--402  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:21:59--433  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:04--407  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:04--410  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:09--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:09--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:14--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:14--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:19--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:19--423  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:24--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:24--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:29--405  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:29--406  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:34--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:34--415  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:39--405  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:39--407  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:44--414  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:44--415  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:49--406  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:49--410  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:54--408  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:54--410  ThreadID:1 >> 对战房间负载：0个
[L]# 06:22:59--413  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:22:59--415  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:04--417  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:04--419  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:09--415  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:09--419  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:14--411  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:14--416  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:19--403  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:19--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:24--418  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:24--441  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:29--402  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:29--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:34--416  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:34--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:39--410  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:39--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:44--405  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:44--407  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:49--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:49--416  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:54--406  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:54--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:23:59--405  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:23:59--407  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:04--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:04--414  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:09--416  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:09--450  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:14--411  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:14--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:19--409  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:19--411  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:24--416  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:24--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:29--419  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:29--424  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:34--404  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:34--406  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:39--404  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:39--406  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:44--402  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:44--418  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:49--405  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:49--422  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:54--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:54--415  ThreadID:1 >> 对战房间负载：0个
[L]# 06:24:59--413  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:24:59--420  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:04--413  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:04--415  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:09--413  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:09--422  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:14--412  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:14--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:19--406  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:19--409  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:24--418  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:24--421  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:29--404  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:29--420  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:34--402  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:34--421  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:39--403  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:39--434  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:44--406  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:44--421  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:49--419  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:49--421  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:54--408  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:54--410  ThreadID:1 >> 对战房间负载：0个
[L]# 06:25:59--415  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:25:59--417  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:04--420  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:26:04--424  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:09--418  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:26:09--421  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:14--417  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:26:14--437  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:19--407  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:26:19--409  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:24--411  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:26:24--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:29--409  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:26:29--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:34--413  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:26:34--415  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:39--407  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:26:39--410  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:44--406  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
[L]# 06:26:44--413  ThreadID:1 >> 对战房间负载：0个
[L]# 06:26:49--404  ThreadID:1 >> 匹配队列负载：1v1=>0人，2v2=>0人，5v5=>0人
